start_inclusive,end_exclusive,administration,status
2015-01-01,2016-05-12,dilma_2,established
2016-05-12,2016-11-25,temer,established
2016-11-25,2017-02-03,temer,provisional
2017-02-03,2017-08-02,temer,established
2017-08-02,2017-08-03,temer,provisional
2017-08-03,2017-10-20,temer,established
2017-10-20,2017-10-26,temer,provisional
2017-10-26,2018-12-31,temer,established
2018-12-31,2019-01-01,temer,provisional
2019-01-01,2020-02-14,bolsonaro,established
2020-02-14,2020-02-18,bolsonaro,provisional
2020-02-18,2020-04-24,bolsonaro,established
2020-04-24,2020-04-29,bolsonaro,provisional
2020-04-29,2021-03-30,bolsonaro,established
2021-03-30,2021-04-01,bolsonaro,provisional
2021-04-01,2022-12-21,bolsonaro,established
2022-12-21,2023-01-01,bolsonaro,provisional
2023-01-01,2026-03-20,lula_3,established
