DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,DT_POSSE,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGA
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AC,AC,ACRE,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AC,AC,ACRE,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AC,AC,ACRE,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AC,AC,ACRE,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AC,AC,ACRE,7,Deputado Estadual,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AC,AC,ACRE,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AC,AC,ACRE,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AL,AL,ALAGOAS,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AL,AL,ALAGOAS,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AL,AL,ALAGOAS,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AL,AL,ALAGOAS,6,Deputado Federal,9
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AL,AL,ALAGOAS,7,Deputado Estadual,27
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AL,AL,ALAGOAS,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AL,AL,ALAGOAS,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AM,AM,AMAZONAS,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AM,AM,AMAZONAS,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AM,AM,AMAZONAS,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AM,AM,AMAZONAS,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AM,AM,AMAZONAS,7,Deputado Estadual,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AM,AM,AMAZONAS,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AM,AM,AMAZONAS,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,268,Eleição Suplementar Governador AM,06/08/2017,05/10/2017,AM,AM,AMAZONAS,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,268,Eleição Suplementar Governador AM,06/08/2017,05/10/2017,AM,AM,AMAZONAS,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AP,AP,AMAPÁ,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,AP,AP,AMAPÁ,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AP,AP,AMAPÁ,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AP,AP,AMAPÁ,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AP,AP,AMAPÁ,7,Deputado Estadual,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AP,AP,AMAPÁ,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,AP,AP,AMAPÁ,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,BA,BA,BAHIA,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,BA,BA,BAHIA,4,Vice-governador,1
