Partido,media_2018,media_2022,NR_2018,NR_2022,CV_2018,CV_2022,media_ponderada,ideologia_categorica
PSTU,0.51,0.51,5,63,2.2157,2.098,0.525,extrema-esquerda
PCO,0.61,0.55,10,68,1.9508,2.2909,0.566,extrema-esquerda
PCB,0.91,0.69,7,64,1.3956,1.6957,0.711,extrema-esquerda
PSOL,1.28,1.41,6,62,0.9297,0.8085,1.453,extrema-esquerda
UP,,1.63,,130,,1.5031,1.679,esquerda
PCdoB,4.60,1.78,30,63,0.5749,0.7022,1.834,esquerda
PT,2.97,2.68,15,70,0.4512,0.4254,2.761,esquerda
PSB,4.05,3.59,51,106,0.3926,0.376,3.699,centro-esquerda
REDE,4.77,3.69,68,120,0.3606,0.3957,3.802,centro-esquerda
PDT,3.93,3.86,36,108,0.3791,0.3705,3.977,centro-esquerda
PV,5.29,4.12,84,173,0.3384,0.3811,4.245,centro-esquerda
SDD,6.50,6.01,50,164,0.3046,0.3111,6.193,centro-direita
CDD,4.93,6.17,47,159,0.4787,0.3047,6.358,centro-direita
AVANTE,6.32,6.47,68,148,0.3592,0.3029,6.667,centro-direita
MDB,7.02,6.50,66,98,0.2365,0.2292,6.698,centro-direita
PMN,6.88,6.74,75,168,0.3052,0.3323,6.945,centro-direita
PSDB,7.11,6.76,23,118,0.2377,0.2115,6.966,centro-direita
PSD,7.09,6.94,40,128,0.2426,0.2291,7.151,direita
PMB,6.90,7.29,88,153,0.2942,0.2647,7.512,direita
PODE,7.10,7.44,63,100,0.2609,0.2003,7.666,direita
PROS,7.47,7.45,47,131,0.245,0.255,7.677,direita
PRTB,7.45,7.49,57,140,0.2658,0.283,7.718,direita
AGIR,7.86,7.55,39,149,0.2099,0.2278,7.78,direita
PTB,6.10,7.72,38,88,0.3574,0.3044,7.955,direita
PROGRE,8.20,8.15,23,73,0.1866,0.1767,8.398,direita
DC,8.11,8.21,16,83,0.1911,0.1766,8.46,direita
REP,7.78,8.33,24,79,0.1902,0.1573,8.584,extrema-direita
PSC,8.33,8.41,14,74,0.1825,0.1546,8.666,extrema-direita
UNIAO,8.34,8.49,19,64,0.1859,0.1614,8.749,extrema-direita
PATRI,8.08,8.60,38,80,0.1963,0.157,8.862,extrema-direita
NOVO,8.13,8.67,45,77,0.2116,0.158,8.934,extrema-direita
PL,7.78,8.80,31,82,0.1967,0.1432,9.068,extrema-direita
